time,ClimTrace_GMST_DecadalMean,ClimTrace_GMST_DecadalMean_1sigma,ClimTrace_GMST_DecadalDerivative,ClimTrace_GMST_DecadalDerivative_1sigma
1850,0.010486538718856806,0.09004791420306076,,
1851,0.009211399617227792,0.09004791420306076,,
1852,0.007936260515598778,0.09004791420306076,,
1853,0.006661121413969765,0.09004791420306076,,
1854,0.0053859823123407514,0.09004791420306076,,
1855,0.004110843210711738,0.09004791420306076,,
1856,0.0028357041090827243,0.09009896383578198,,
1857,0.0018648087000424133,0.09019125994539356,,
1858,0.001428659585930151,0.0903509838371119,,
1859,0.001220340130105691,0.09053477722124223,,
1860,0.0009153305891212452,0.09069174685907017,-5.606897802962801e-05,0.0032930701709853526
1861,0.0001983971930201731,0.09075760635535253,0.00042421552454377455,0.003269351984402202
1862,-0.001283752701009121,0.09071940991197217,0.0009413366065675096,0.0031678987510850866
1863,-0.0037211834829538404,0.09130404181357656,0.0014114804617066823,0.003093489444564563
1864,-0.005857331263333968,0.09106590936400424,0.0018316926580861155,0.003047576757772766
1865,-0.006101020128048208,0.09242490514357933,0.002164045373623197,0.0030774003594693494
1866,-0.0036844188170242196,0.09281032484952662,0.0023824450358591867,0.003202839047954933
1867,0.0015670417004469527,0.0923428947010347,0.0024754657248068253,0.003424853949619615
1868,0.009012772373705808,0.09001793821741041,0.002444589086756296,0.003694905077959599
1869,0.01754929600865717,0.08877154085714581,0.0022994960439688718,0.003932182944445585
1870,0.026066096588196273,0.085209538359135,0.0020515252980771426,0.004101810330522626
1871,0.033657357951712666,0.08245730842546381,0.0017074791949019882,0.0041958681227831154
1872,0.03907256137265167,0.08096780340401663,0.0012691539949807886,0.004237017048294025
1873,0.04186731058122647,0.08124725052185076,0.0007386873050540904,0.004284042733062607
1874,0.04164537339074594,0.08158250950396208,0.00012382232915346698,0.004390168177517075
1875,0.038347418834724555,0.08222778676407701,-0.0005581466047625145,0.004534412891465107
1876,0.03293009836469161,0.08272849343749156,-0.00127881459591643,0.00470275994046228
1877,0.026767686315465982,0.08370698251327333,-0.0020009395556228548,0.004878025281400483
1878,0.021267439118418177,0.08386260569842911,-0.0026832528679821984,0.005032618224776896
1879,0.016705840381820932,0.0838688540206807,-0.003286125037509102,0.005157098366912034
1880,0.012548523014552582,0.084199784146015,-0.0037777074537393486,0.005248108447373245
1881,0.008427771364930526,0.08415002340655844,-0.0041382086787350265,0.005296547693766098
1882,0.004145765351850299,0.08281738720825599,-0.004362118724377178,0.005287227792144741
1883,-5.945194104449627e-05,0.0815042280866489,-0.004458874014268812,0.00521227925869683
1884,-0.0040188856274780485,0.07932842742706019,-0.004450438213167614,0.005097797198286925
1885,-0.008209074803630088,0.07792641903281927,-0.004366271759488278,0.0049478855216767495
